2022-08-20 07:58:29.367  INFO [authorizationService,,] 8812 --- [http-nio-9090-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 5 ms
2022-08-20 07:58:29.902  INFO [authorizationService,a0293f2bb5c818a5,6e650acf916cb349] 8812 --- [http-nio-9090-exec-1] c.c.controller.AuthorizationController   : STARTED - generateToken
2022-08-20 07:58:48.141  INFO [authorizationService,84e21a4e0a9e62bd,b9554f0b7672932c] 8812 --- [http-nio-9090-exec-2] c.c.controller.AuthorizationController   : STARTED - User authentication
2022-08-20 07:58:48.147  INFO [authorizationService,84e21a4e0a9e62bd,b9554f0b7672932c] 8812 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 07:58:48.798  INFO [authorizationService,84e21a4e0a9e62bd,b9554f0b7672932c] 8812 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 07:58:48.808  INFO [authorizationService,84e21a4e0a9e62bd,b9554f0b7672932c] 8812 --- [http-nio-9090-exec-2] c.c.controller.AuthorizationController   : END - generateToken
2022-08-20 07:58:51.254  INFO [authorizationService,1b5d4a36b7bbc055,dc48759c2fe5904f] 8812 --- [http-nio-9090-exec-5] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 07:58:51.314  INFO [authorizationService,1b5d4a36b7bbc055,dc48759c2fe5904f] 8812 --- [http-nio-9090-exec-5] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 07:58:51.344  INFO [authorizationService,1b5d4a36b7bbc055,dc48759c2fe5904f] 8812 --- [http-nio-9090-exec-5] c.c.controller.AuthorizationController   : STARTED - authorization
2022-08-20 07:58:51.346  INFO [authorizationService,1b5d4a36b7bbc055,dc48759c2fe5904f] 8812 --- [http-nio-9090-exec-5] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 07:58:51.350  INFO [authorizationService,1b5d4a36b7bbc055,dc48759c2fe5904f] 8812 --- [http-nio-9090-exec-5] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 07:58:51.356  INFO [authorizationService,1b5d4a36b7bbc055,dc48759c2fe5904f] 8812 --- [http-nio-9090-exec-5] c.c.controller.AuthorizationController   : END - authorization
2022-08-20 08:02:11.257  INFO [authorizationService,3d01aca93d11a711,934bb984d3c59beb] 8812 --- [http-nio-9090-exec-9] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:02:11.263  INFO [authorizationService,3d01aca93d11a711,934bb984d3c59beb] 8812 --- [http-nio-9090-exec-9] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:02:11.274  INFO [authorizationService,3d01aca93d11a711,934bb984d3c59beb] 8812 --- [http-nio-9090-exec-9] c.c.controller.AuthorizationController   : STARTED - authorization
